,pu,do,count
356,88,137,161
357,88,144,164
358,88,148,329
359,88,158,130
360,88,161,176
361,88,162,204
362,88,163,85
363,88,164,153
364,88,170,285
365,88,186,135
366,88,209,106
367,88,211,119
368,88,224,119
369,88,229,226
370,88,230,179
371,88,231,371
372,88,232,270
373,88,233,168
374,88,234,179
375,88,246,235
376,88,249,140
377,88,261,144
378,90,4,238
379,90,13,182
380,90,45,73
381,90,48,934
382,90,50,380
383,90,68,1395
384,90,79,1135
385,90,87,195
386,90,88,42
388,90,100,530
389,90,107,894
390,90,113,857
391,90,114,682
392,90,125,260
393,90,137,446
394,90,144,458
395,90,148,446
396,90,158,948
397,90,161,578
398,90,162,395
399,90,163,359
400,90,164,822
401,90,170,829
402,90,186,1007
403,90,209,61
404,90,211,479
405,90,224,183
406,90,229,219
407,90,230,633
408,90,231,592
409,90,232,180
410,90,233,289
411,90,234,1174
412,90,246,1518
413,90,249,1409
414,90,261,82
415,100,4,162
416,100,12,5
417,100,13,172
418,100,45,73
419,100,48,1173
420,100,50,595
421,100,68,743
422,100,79,615
423,100,87,152
424,100,88,53
425,100,90,567
427,100,107,715
428,100,113,375
429,100,114,350
430,100,125,150
431,100,137,495
432,100,144,313
433,100,148,293
434,100,158,403
435,100,161,1120
436,100,162,724
437,100,163,915
438,100,164,583
439,100,170,911
440,100,186,589
441,100,209,59
442,100,211,279
443,100,224,133
444,100,229,653
445,100,230,1362
446,100,231,333
447,100,232,128
448,100,233,542
449,100,234,1079
450,100,246,1064
451,100,249,477
452,100,261,93
453,107,4,605
454,107,12,2
455,107,13,178
456,107,45,155
457,107,48,541
458,107,50,208
459,107,68,915
460,107,79,2118
461,107,87,282
462,107,88,86
463,107,90,838
464,107,100,476
466,107,113,958
467,107,114,921
468,107,125,212
469,107,137,938
470,107,144,532
471,107,148,871
472,107,158,510
473,107,161,792
474,107,162,737
475,107,163,313
476,107,164,1041
477,107,170,2098
478,107,186,1350
479,107,209,110
480,107,211,449
481,107,224,409
482,107,229,679
483,107,230,545
484,107,231,586
485,107,232,515
486,107,233,747
487,107,234,1199
488,107,246,678
489,107,249,1033
490,107,261,79
491,113,4,624
492,113,12,1
493,113,13,279
494,113,45,112
495,113,48,446
496,113,50,201
497,113,68,980
498,113,79,1754
499,113,87,268
500,113,88,51
501,113,90,735
502,113,100,277
503,113,107,1017
505,113,114,745
506,113,125,301
507,113,137,448
508,113,144,738
509,113,148,772
510,113,158,851
511,113,161,461
512,113,162,272
513,113,163,240
514,113,164,644
515,113,170,704
516,113,186,744
517,113,209,109
518,113,211,725
519,113,224,331
520,113,229,206
521,113,230,445
522,113,231,914
523,113,232,398
524,113,233,304
525,113,234,1138
526,113,246,814
527,113,249,1152
528,113,261,127
529,114,4,264
530,114,12,4
531,114,13,259
532,114,45,137
533,114,48,312
534,114,50,143
535,114,68,537
536,114,79,1193
537,114,87,248
538,114,88,43
539,114,90,586
540,114,100,192
541,114,107,704
542,114,113,604
544,114,125,234
545,114,137,292
546,114,144,430
547,114,148,544
548,114,158,597
549,114,161,283
550,114,162,204
551,114,163,159
552,114,164,491
553,114,170,420
554,114,186,434
555,114,209,81
556,114,211,337
557,114,224,204
558,114,229,132
559,114,230,319
560,114,231,766
561,114,232,272
562,114,233,156
563,114,234,839
564,114,246,491
565,114,249,898
566,114,261,122
567,125,4,179
568,125,12,4
569,125,13,321
570,125,45,92
571,125,48,262
572,125,50,116
573,125,68,533
574,125,79,857
575,125,87,206
576,125,88,46
577,125,90,360
578,125,100,150
579,125,107,471
580,125,113,544
581,125,114,312
583,125,137,211
584,125,144,426
585,125,148,437
586,125,158,493
587,125,161,213
588,125,162,150
589,125,163,116
590,125,164,267
591,125,170,228
592,125,186,285
593,125,209,79
594,125,211,211
595,125,224,126
596,125,229,77
597,125,230,198
598,125,231,485
599,125,232,157
600,125,233,96
601,125,234,734
602,125,246,481
603,125,249,575
604,125,261,87
605,137,4,299
606,137,12,2
607,137,13,111
608,137,45,70
609,137,48,378
610,137,50,111
611,137,68,334
612,137,79,1264
613,137,87,152
614,137,88,70
615,137,90,313
616,137,100,373
617,137,107,695
618,137,113,545
619,137,114,427
620,137,125,83
622,137,144,255
623,137,148,363
624,137,158,145
625,137,161,443
626,137,162,703
627,137,163,182
628,137,164,638
629,137,170,902
630,137,186,735
631,137,209,74
632,137,211,180
633,137,224,304
634,137,229,641
635,137,230,294
636,137,231,223
637,137,232,249
638,137,233,497
639,137,234,708
640,137,246,185
641,137,249,369
642,137,261,54
643,144,4,337
644,144,12,5
645,144,13,337
646,144,45,164
647,144,48,377
648,144,50,145
649,144,68,514
650,144,79,1449
651,144,87,442
652,144,88,85
653,144,90,434
654,144,100,267
655,144,107,630
656,144,113,648
657,144,114,514
658,144,125,205
659,144,137,308
661,144,148,693
662,144,158,619
663,144,161,452
664,144,162,246
665,144,163,236
666,144,164,533
667,144,170,393
668,144,186,459
669,144,209,179
670,144,211,346
671,144,224,161
672,144,229,177
673,144,230,567
674,144,231,938
675,144,232,404
676,144,233,192
677,144,234,707
678,144,246,479
679,144,249,872
680,144,261,232
681,148,4,427
682,148,12,1
683,148,13,127
684,148,45,186
685,148,48,209
686,148,50,68
687,148,68,269
688,148,79,1193
689,148,87,248
690,148,88,87
691,148,90,178
692,148,100,127
693,148,107,555
694,148,113,473
695,148,114,419
696,148,125,116
697,148,137,229
698,148,144,394
700,148,158,261
701,148,161,218
702,148,162,161
703,148,163,79
704,148,164,257
705,148,170,239
706,148,186,249
707,148,209,146
708,148,211,366
709,148,224,124
710,148,229,136
711,148,230,254
712,148,231,506
713,148,232,472
714,148,233,143
715,148,234,483
716,148,246,221
717,148,249,423
718,148,261,126
719,158,4,77
720,158,12,12
721,158,13,415
722,158,45,66
723,158,48,429
724,158,50,188
725,158,68,694
726,158,79,650
727,158,87,204
728,158,88,70
729,158,90,488
730,158,100,197
731,158,107,414
732,158,113,620
733,158,114,498
734,158,125,280
735,158,137,117
736,158,144,544
737,158,148,408
739,158,161,345
740,158,162,225
741,158,163,218
742,158,164,365
743,158,170,291
744,158,186,420
745,158,209,75
746,158,211,582
747,158,224,50
748,158,229,90
749,158,230,376
750,158,231,929
751,158,232,101
752,158,233,92
753,158,234,861
754,158,246,731
755,158,249,750
756,158,261,101
757,161,4,246
758,161,12,9
759,161,13,373
760,161,45,115
761,161,48,1915
762,161,50,886
763,161,68,1167
764,161,79,1287
765,161,87,357
766,161,88,109
767,161,90,932
768,161,100,1340
769,161,107,1570
770,161,113,955
771,161,114,675
772,161,125,254
773,161,137,910
774,161,144,643
775,161,148,504
776,161,158,698
778,161,162,1284
779,161,163,1409
780,161,164,2559
781,161,170,1841
782,161,186,1997
783,161,209,147
784,161,211,574
785,161,224,303
786,161,229,1465
787,161,230,1870
788,161,231,862
789,161,232,213
790,161,233,1103
791,161,234,3035
792,161,246,1358
793,161,249,999
794,161,261,174
795,162,4,277
796,162,12,5
797,162,13,272
798,162,45,74
799,162,48,1314
800,162,50,548
801,162,68,776
802,162,79,1072
803,162,87,296
804,162,88,101
805,162,90,534
806,162,100,890
807,162,107,1697
808,162,113,699
809,162,114,530
810,162,125,168
811,162,137,974
812,162,144,336
813,162,148,456
814,162,158,388
815,162,161,1681
817,162,163,1062
818,162,164,1575
819,162,170,1973
820,162,186,1518
821,162,209,106
822,162,211,331
823,162,224,292
824,162,229,1255
825,162,230,1626
826,162,231,637
827,162,232,276
828,162,233,931
829,162,234,1821
830,162,246,749
831,162,249,693
832,162,261,132
833,163,4,95
834,163,12,3
835,163,13,183
836,163,45,46
837,163,48,1455
838,163,50,777
839,163,68,732
840,163,79,505
841,163,87,195
842,163,88,62
843,163,90,401
844,163,100,939
845,163,107,591
846,163,113,419
847,163,114,298
848,163,125,149
849,163,137,337
850,163,144,291
851,163,148,263
852,163,158,427
853,163,161,1758
854,163,162,1117
856,163,164,1162
857,163,170,1145
858,163,186,1175
859,163,209,73
860,163,211,276
861,163,224,94
862,163,229,785
863,163,230,2158
864,163,231,457
865,163,232,105
866,163,233,632
867,163,234,1113
868,163,246,1011
869,163,249,540
870,163,261,74
871,164,4,278
872,164,12,5
873,164,13,266
874,164,45,112
875,164,48,1201
876,164,50,495
877,164,68,1092
878,164,79,1266
879,164,87,238
880,164,88,83
881,164,90,706
882,164,100,647
883,164,107,1113
884,164,113,873
885,164,114,598
886,164,125,217
887,164,137,652
888,164,144,485
889,164,148,509
890,164,158,584
891,164,161,1814
892,164,162,861
893,164,163,865
895,164,170,1384
896,164,186,750
897,164,209,110
898,164,211,456
899,164,224,301
900,164,229,687
901,164,230,1677
902,164,231,549
903,164,232,244
904,164,233,726
905,164,234,1731
906,164,246,1048
907,164,249,901
908,164,261,122
909,170,4,319
910,170,12,3
911,170,13,231
912,170,45,126
913,170,48,1045
914,170,50,340
915,170,68,923
916,170,79,1603
917,170,87,287
918,170,88,124
919,170,90,749
920,170,100,863
921,170,107,1825
922,170,113,923
923,170,114,623
924,170,125,153
925,170,137,874
926,170,144,421
927,170,148,498
928,170,158,429
929,170,161,1433
930,170,162,1051
931,170,163,780
932,170,164,1112
934,170,186,1371
935,170,209,109
936,170,211,354
937,170,224,432
938,170,229,1431
939,170,230,1074
940,170,231,538
941,170,232,291
942,170,233,816
943,170,234,2084
944,170,246,665
945,170,249,837
